YEAR,season,SITE,PLNT_DNS,FRND_DNS,DRY_WT,Dry_CAN_WT,Dry_WC_wt,Dry_SUB_wt,N_blade,C_blade,C_WT,N_WT,elapsed,g_bar_dry,g_barC,g_barN,dry_prod_per_day,C_prod_per_day,N_prod_per_day,f,p,d,c,b,l,dry_wt_lost_as_fronds,dry_wt_lost_as_plants,dry_wt_lost_as_dissolved,dry_wt_lost_as_cut_fronds,dry_wt_lost_as_blades,C_lost_as_fronds,C_lost_as_plants,C_lost_as_dissolved,C_lost_as_cut_fronds,C_lost_as_blades,N_lost_as_fronds,N_lost_as_plants,N_lost_as_dissolved,N_lost_as_cut_fronds,N_lost_as_blades,Mean_TEMP,mean_ambient_N,sfc_par,Subsfc_par,Bottom_par,dry_wt_stD,dry_can_wt_stD,dry_wc_wt_stD,dry_sub_wt_stD,c_blade_stD,n_blade_stD,C_wt_stD,N_wt_stD,plnt_dns_stD,frnd_dns_stD,g_bar_dry_stD,dry_prod_per_day_stD,g_barC_stD,C_prod_per_day_stD,g_barN_stD,N_prod_per_day_stD,f_stD,p_stD,d_stD,c_stD,b_stD,l_stD,dry_wt_lost_as_fronds_stD,dry_wt_lost_as_plants_stD,dry_wt_lost_as_dissolved_stD,dry_wt_lost_as_cut_fronds_stD,dry_wt_lost_as_blades_stD,C_lost_as_fronds_stD,C_lost_as_plants_stD,C_lost_as_dissolved_stD,C_lost_as_cut_fronds_stD,C_lost_as_blades_stD,N_lost_as_fronds_stD,N_lost_as_plants_stD,N_lost_as_dissolved_stD,N_lost_as_cut_fronds_stD,N_lost_as_blades_stD
2005,1-Winter,ABUR,0.0259831461,0.3158005618,0.0205838611,0.002306957,0.0056892992,0.012587605,1.6162359551,26.504494382,0.0050112515,0.0002682469,89,0.0132521381,0.0133309149,0.013220715,0.0004876303,0.0001098777,6.1515234E-6,0.0154672909,0.0069197692,0.002242841,0,0.0084214376,0.0330513387,0.0006092421,0.0002124486,0.0000859882,0,0.0003473831,0.0001585812,0.0000545954,0.0000223975,0,0.0000906917,7.9882447E-6,2.7427389E-6,1.1336299E-6,0,4.58188E-6,14.67764615,1.143563655,581.96235258,121.5844575,16.654264482,0.0025194842,0.0003121074,0.000696,0.0016946394,1.273740961,0.1759097431,0.0006425787,0.0000451258,0.0014339687,0.0293525439,0.0046386837,0.0001903901,0.0047130995,0.0000481615,0.0049601013,2.6211256E-6,0.0031577883,0.0027831923,0.00013872,0,0.0003789022,0.0043008711,0.0001547382,0.0000929992,0.000011327,0,0.0000428753,0.000041131,0.0000241789,2.8650089E-6,0,0.00001245,2.224432E-6,1.2416001E-6,1.9884038E-7,0,7.8035297E-7
2005,2-Spring,ABUR,0.0240143369,0.4941532258,0.047201954,0.0189320156,0.0138835189,0.0143864195,3.1612365591,28.592580645,0.0126388044,0.0011999543,93,0.0420874166,0.0419835233,0.0491326566,0.001429947,0.0003785303,0.0000378849,0.0115497575,0.0014086096,0.0031232888,0.0000318676,0.009392876,0.0255063995,0.000428457,0.0000656887,0.0001169306,1.815012E-6,0.0003492361,0.0001157346,0.0000169372,0.0000313345,4.6171588E-7,0.0000938228,0.0000108037,1.7679438E-6,2.9094606E-6,4.6598398E-8,8.6257296E-6,12.781276478,5.3730922075,803.38704307,169.31195535,26.542826748,0.005150394,0.0028181582,0.001359735,0.0015443624,1.0760440578,0.272581713,0.0014378644,0.0001772295,0.0009968714,0.0366338309,0.003525503,0.0001915137,0.0038036743,0.0000524049,0.0039917123,6.4149528E-6,0.0017960184,0.0011138016,0.0001680995,8.5123724E-6,0.0003451569,0.0021208999,0.0000822319,0.0000517795,0.0000142419,5.029105E-7,0.0000359991,0.0000223587,0.0000133966,3.5925575E-6,1.2870013E-7,0.0000101905,2.3706977E-6,1.4170823E-6,4.571538E-7,1.4411448E-8,1.2105806E-6
2005,3-Summer,ABUR,0.2408378136,1.0513888889,0.0526524039,0.010304403,0.0112906272,0.0310573737,1.8383870968,28.494193548,0.0141174666,0.0007754325,93,0.0283765695,0.0292309268,0.0190002322,0.0015169683,0.0004147499,0.0000162193,0.0157907895,0.0007748967,0.0029069911,0.0001146215,0.0088526832,0.028439982,0.0008014715,0.0000465764,0.0001516957,7.3762008E-6,0.0004628242,0.0002136211,0.0000121565,0.0000398629,1.9833706E-6,0.0001215988,0.0000124969,9.7782621E-7,2.7631769E-6,1.136995E-7,8.454152E-6,15.16290655,1.3250201097,773.61525822,173.46982119,35.722770029,0.0047617931,0.0013301015,0.00101243,0.0029503481,1.1090297954,0.1670550968,0.0013624356,0.0000978807,0.0112765735,0.0775522362,0.0032580873,0.0002071124,0.0033296241,0.0000578717,0.0036988918,3.6609036E-6,0.002524634,0.0005945948,0.0001494523,0.0000149297,0.0003336515,0.0026354425,0.0001437102,0.0000358438,0.0000174006,1.1138603E-6,0.0000473172,0.0000387863,9.2719584E-6,4.2397815E-6,3.0665469E-7,0.0000127374,2.3828398E-6,8.703451E-7,4.2469513E-7,2.1557619E-8,1.1862767E-6
2005,4-Autumn,ABUR,0.275462963,1.6361805556,0.0962000671,0.0108678338,0.017847874,0.0674843592,1.7061666667,29.551944444,0.0263571042,0.0012045762,90,0.0297842779,0.0297243738,0.0332587229,0.0027093159,0.0007402895,0.0000351518,0.0140872064,0.003362443,0.0021283816,0.0008582402,0.0071417021,0.0275779733,0.0011495853,0.0002690337,0.0001922566,0.0000829388,0.0006364352,0.0003152126,0.0000737333,0.0000526876,0.000022742,0.0001744109,0.0000140508,3.4026556E-6,2.3067725E-6,9.5896428E-7,7.6895257E-6,15.187742485,0.8982080544,583.88989161,139.56922944,35.597553334,0.0100536184,0.0014291579,0.0019339763,0.0071352503,1.0302877326,0.1365756636,0.0029206372,0.0001712567,0.0126785051,0.1319609383,0.0029880734,0.0003921682,0.0031260105,0.0001119159,0.0035405475,6.2548216E-6,0.0017852999,0.0013037326,0.0001115317,0.0000733735,0.0002585894,0.0022093782,0.0001783892,0.0001244333,0.0000215696,0.0000118447,0.0000679077,0.0000503721,0.0000341351,5.4547803E-6,3.3585499E-6,0.0000193161,2.4671176E-6,1.5469478E-6,3.1340729E-7,1.5866583E-7,1.0169192E-6
2006,1-Winter,ABUR,0.0363529963,0.3721910112,0.0260521346,0.0068164412,0.007021675,0.0122140184,2.487752809,29.527640449,0.0071245519,0.0005009902,89,0.0242321484,0.0226929482,0.0297161259,0.0006450439,0.0001683187,0.0000162634,0.0158755192,0.0071110384,0.0022988242,0,0.008634384,0.0339197658,0.0006840988,0.0002908932,0.0000845625,0,0.0003232689,0.0001877312,0.0000790712,0.0000230866,0,0.000088525,0.000010867,4.9202335E-6,1.4314614E-6,0,5.3665572E-6,13.446795526,3.2561288021,583.91469585,121.60767145,16.405346062,0.0025592009,0.0009672472,0.0007565793,0.0011906388,1.1053241947,0.216439926,0.0007546515,0.000061361,0.0016837347,0.0271278369,0.0034182565,0.0001280205,0.0035787271,0.0000393156,0.0042577204,3.3067729E-6,0.0024387734,0.0021864826,0.0001165296,0,0.0003312058,0.0032741658,0.0001376873,0.0000929768,0.0000102801,0,0.0000385715,0.000039455,0.0000258648,2.7137881E-6,0,0.0000112194,2.3916861E-6,1.5732807E-6,1.8639068E-7,0,7.0636106E-7
2006,2-Spring,ABUR,0.0227598566,0.4008960573,0.0299687474,0.0085566599,0.0087096091,0.0127024784,2.4386021505,32.324301075,0.0087550756,0.0006171544,93,0.031335445,0.0336447584,0.0278339974,0.0009410642,0.0002837833,0.0000196463,0.011180645,0.0093857952,0.0027218582,0.0014092025,0.0093032371,0.0340007379,0.0003354972,0.0002717215,0.0000858603,0.0000351516,0.0002901861,0.0000954693,0.0000779144,0.0000240038,0.0000110412,0.0000817429,7.4036017E-6,5.9484215E-6,1.9347233E-6,6.7001919E-7,6.4787016E-6,13.022176442,4.6228005781,803.28926288,169.35494816,26.639408681,0.0029109576,0.0011974931,0.0008908049,0.0012168573,1.219012622,0.2109467205,0.0008978261,0.0000858799,0.0009886434,0.0280281025,0.0044969549,0.0001507578,0.004503423,0.0000440083,0.0054825982,4.3703941E-6,0.0018045755,0.00290419,0.0001401878,0.0001788963,0.0003611635,0.0035202178,0.0000617524,0.0000882273,0.0000104763,6.2535408E-6,0.0000318487,0.0000181849,0.000025485,2.6335471E-6,2.0171257E-6,9.2286549E-6,1.4563422E-6,2.0039036E-6,3.1454776E-7,1.4353318E-7,9.7211665E-7
2006,3-Summer,ABUR,0.0242159498,0.3405241935,0.0179101779,0.0004270281,0.0011129891,0.0163701607,0.9777956989,31.729623656,0.0053551293,0.0001394848,93,0.022460845,0.020991266,0.0166913932,0.0004142575,0.0001185936,2.2913232E-6,0.0142442797,0.0020799628,0.001901008,0.0013635378,0.0049518436,0.0245406319,0.0002609588,0.0000393224,0.000035116,0.0000262132,0.0000920423,0.0000796017,0.0000122161,0.000010773,8.1883978E-6,0.0000283534,2.205655E-6,3.7513654E-7,3.1813117E-7,2.6494719E-7,8.710954E-7,15.58630725,0.9341744375,772.88066699,173.4892411,36.177171083,0.0024040931,0.0000719792,0.0001444114,0.0022757668,1.1294662361,0.0830581047,0.0007474361,0.0000215104,0.000941017,0.0303939124,0.0033544728,0.0000843743,0.0034623744,0.0000267296,0.0038543399,7.1600556E-7,0.0022069534,0.0012678039,0.0000946747,0.0001174988,0.0002103149,0.0026280993,0.0000519488,0.000024213,4.5956802E-6,4.4789455E-6,0.0000111912,0.000016138,7.5325869E-6,1.3373862E-6,1.3974992E-6,3.5486575E-6,4.5090314E-7,2.2727245E-7,4.5226791E-8,5.0517187E-8,1.1963209E-7
2006,4-Autumn,ABUR,0.0313194444,0.2871990741,0.0152731224,0.0017289836,0.0032818695,0.0102622693,1.4198888889,30.761555556,0.0044142378,0.0001464066,90,0.0187967563,0.0175819595,0.0247986993,0.0003532449,0.0000969749,4.039566E-6,0.0085917536,0.0128352113,0.0019673278,0,0.0069828718,0.0303771644,0.000146074,0.000151634,0.000031964,0,0.0001134253,0.0000424527,0.0000415422,9.2339242E-6,0,0.0000327338,1.26103E-6,1.6950299E-6,2.8418429E-7,0,1.0152214E-6,16.147753806,0.6824638928,582.78238114,139.68816701,35.393938843,0.0019850065,0.0003386461,0.0004759904,0.0013019974,1.116351769,0.1262472316,0.0006110076,0.0000241638,0.0014084194,0.0258985282,0.0042970646,0.0000862828,0.0044197667,0.0000245137,0.0050847576,1.1019132E-6,0.0012754787,0.0042610817,0.0001034299,0,0.0002639934,0.0044269647,0.0000279646,0.0000538241,4.2688153E-6,0,0.000014798,8.3184567E-6,0.00001531,1.1734615E-6,0,4.4619691E-6,2.6678712E-7,6.4124068E-7,4.6101444E-8,0,1.6321754E-7
2007,1-Winter,ABUR,0.0138810861,0.0910580524,0.0053588554,0.0009084343,0.0012875223,0.0031628988,2.5086516854,31.150786517,0.0015665114,0.0001079233,89,0.036812226,0.0365752703,0.0393501408,0.0001718892,0.0000500764,3.6220836E-6,0.0172186623,0.0082582281,0.0020175082,0,0.0080002316,0.0354946303,0.0000870029,0.0000601051,0.0000107104,0,0.000042144,0.0000251764,0.0000159168,3.0466918E-6,0,0.0000120131,1.6891131E-6,8.7975716E-7,1.9621323E-7,0,7.7687135E-7,13.560884953,2.3833678589,585.7908154,122.43304119,17.369727678,0.0004881793,0.0001596552,0.0001223231,0.0003285472,1.134946535,0.2134684434,0.000157067,0.0000140993,0.000456922,0.005274652,0.0063346497,0.0000362638,0.0064458139,0.0000109349,0.0066846566,8.1527109E-7,0.0051189167,0.0039342466,0.000100691,0,0.0003032269,0.0062739276,0.0000271566,0.0000243478,1.1314154E-6,0,4.1396784E-6,8.0083356E-6,6.8936277E-6,3.0360258E-7,0,1.2409827E-6,5.6919646E-7,4.2602864E-7,2.472037E-8,0,9.3624885E-8
2007,2-Spring,ABUR,0.0362231183,0.1919578853,0.0111608858,0.0024507651,0.002784084,0.0059260367,2.3077419355,29.179408602,0.0030876906,0.0001987749,93,0.0346322216,0.0342700526,0.0320830731,0.0003467427,0.0000960278,5.8044753E-6,0.0114967967,0.001502487,0.0026842938,0,0.0088260073,0.0245095848,0.0001285848,0.0000210963,0.0000255346,0,0.0000825824,0.0000358574,5.9578823E-6,7.0087501E-6,0,0.0000227275,2.25806E-6,3.4704433E-7,4.7448606E-7,0,1.53769E-6,12.975302945,5.2498417087,802.84262124,168.31806214,25.769172014,0.0010693345,0.0003829845,0.0002740617,0.0005732827,1.048931377,0.1933949325,0.0003200072,0.0000258222,0.0016291945,0.0130946893,0.0032295083,0.0000532985,0.0033028384,0.000015539,0.0036973635,1.1141451E-6,0.0022685749,0.0012234819,0.0001480494,0,0.0003478794,0.002629411,0.0000315726,0.0000174467,2.7850788E-6,0,8.1157365E-6,8.97793E-6,4.902039E-6,7.1272679E-7,0,2.3451385E-6,5.772641E-7,2.9424842E-7,6.4858054E-8,0,1.9431608E-7
2007,3-Summer,ABUR,0.1406586022,0.6461021505,0.0301101999,0.003396136,0.0066921038,0.0200219601,1.7432258065,31.411451613,0.0089292206,0.0003775414,93,0.0436275724,0.0441860664,0.0390635783,0.0010918225,0.0003189557,0.0000127732,0.0175612319,0.0015908686,0.0023243137,0,0.0078172316,0.0292936458,0.0003700758,0.0000223373,0.0000531567,0,0.0001785177,0.0001075065,6.3083459E-6,0.0000154756,0,0.000051973,5.3050492E-6,3.6745871E-7,7.3888881E-7,0,2.4832053E-6,15.563454906,0.93977922,766.14667302,179.72388998,29.866290596,0.0028813255,0.0004188855,0.0007042184,0.0019610589,1.1240586844,0.1494606476,0.0009399448,0.000048853,0.0068229117,0.0485574635,0.0040121147,0.0001337038,0.0040660894,0.0000411654,0.0043884327,2.0315014E-6,0.0032624253,0.0012954514,0.0001161445,0,0.0002875257,0.0035366461,0.0000721598,0.000018473,5.0455735E-6,0,0.0000161913,0.0000214627,5.1903943E-6,1.396861E-6,0,5.0937519E-6,1.1252475E-6,3.1155715E-7,9.158413E-8,0,2.9402638E-7
2007,4-Autumn,ABUR,0.1729166667,1.6466435185,0.1267589824,0.0371254423,0.0409756624,0.0486578777,1.926,27.238111111,0.0325616837,0.0018515125,90,0.0376489388,0.035811898,0.0431282575,0.0039657767,0.0010085475,0.0000612401,0.0191809542,0.0036221709,0.0025263553,0.0001473836,0.0094265929,0.0349034569,0.001841387,0.0003374521,0.0002892878,0.0000204313,0.0011013576,0.00047788,0.0000874789,0.0000756188,5.2958869E-6,0.0002873056,0.0000273321,5.0243338E-6,3.9889615E-6,2.8320809E-7,0.0000152927,14.032049158,1.9157903513,566.16991573,144.6175925,24.486729288,0.0132157904,0.0043687321,0.0043540572,0.0048521482,1.0117646852,0.1703958119,0.0036502614,0.000271224,0.0081489166,0.1292555627,0.0041943827,0.0005383495,0.0042580857,0.0001433786,0.0047499062,0.0000102035,0.0031707525,0.0018847338,0.0001362225,0.0000208212,0.0003663541,0.0036855622,0.0003386626,0.0001826183,0.0000319567,3.7012933E-6,0.0001161285,0.0000875311,0.0000478752,7.7317796E-6,9.7953692E-7,0.000032162,5.8426324E-6,2.6340471E-6,5.7753985E-7,6.0211054E-8,2.1212913E-6
